time/total_timesteps,rollout/ep_len_mean,time/iterations,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/approx_kl,train/n_updates,train/clip_fraction,train/loss,train/clip_range,train/value_loss,train/explained_variance,train/learning_rate,train/entropy_loss,train/policy_gradient_loss
3639296,8.0,1,1583,-58652.3,1,,,,,,,,,,
3641344,8.17,2,1482,-60594.3,2,4.976755e-09,17770,0.0,1161199360.0,0.2,2211632950.4,-1.1920928955078125e-07,0.00032,-1.3659228682518005,-3.3136474667117e-05
3643392,8.19,3,842,-60204.3,7,4.773028e-09,17780,0.0,1192181504.0,0.2,2295919184.0,0.0,0.00032,-1.3664938151836394,-2.8128677513450384e-05
3645440,6.9,4,935,-66024.8,8,3.8999133e-09,17790,0.0,970169344.0,0.2,2166695443.2,0.0,0.00032,-1.3663750112056732,-3.193306038156152e-05
3647488,7.25,5,1002,-60199.7,10,4.307367e-09,17800,0.0,1182360832.0,0.2,2459239833.6,0.0,0.00032,-1.365784826874733,-3.297807998023927e-05
3649536,7.72,6,1052,-59815.3,11,5.9662852e-09,17810,0.0,1261679360.0,0.2,2563141638.4,0.0,0.00032,-1.365899121761322,-3.618696355260909e-05
3651584,7.0,7,1088,-64858.5,13,4.3946784e-09,17820,0.0,887119232.0,0.2,1861590332.8,0.0,0.00032,-1.3663777887821198,-3.0350626911967992e-05
3653632,7.14,8,1120,-57095.3,14,7.4214768e-09,17830,0.0,1313364864.0,0.2,2383031699.2,-1.1920928955078125e-07,0.00032,-1.3659718543291093,-3.912586835213006e-05
3655680,7.14,9,1145,-54378.3,16,4.8603397e-09,17840,0.0,1071042880.0,0.2,2037048134.4,0.0,0.00032,-1.3661083906888962,-3.072007093578577e-05
3657728,6.56,10,1148,-55927.5,17,7.014023e-09,17850,0.0,1271296000.0,0.2,2443204710.4,5.960464477539063e-08,0.00032,-1.3657099843025207,-3.53851355612278e-05
3659776,8.4,11,1167,-64475.1,19,5.675247e-09,17860,0.0,1026528832.0,0.2,2003687059.2,-1.1920928955078125e-07,0.00032,-1.3661405980587005,-3.306758007965982e-05
3661824,7.92,12,1089,-53213.5,22,4.7148205e-09,17870,0.0,1316262528.0,0.2,2514387776.0,-2.384185791015625e-07,0.00032,-1.3658773750066757,-3.0101300217211248e-05
3663872,6.75,13,1102,-60199.1,24,5.2677933e-09,17880,0.0,995520256.0,0.2,2146798300.8,0.0,0.00032,-1.3658492296934128,-2.9357700259424747e-05
3665920,7.62,14,1119,-58262.8,25,3.8708095e-09,17890,0.0,1088945792.0,0.2,2298040643.2,-1.1920928955078125e-07,0.00032,-1.3658141791820526,-3.0135500128380955e-05
3667968,7.53,15,1134,-60591.4,27,5.2386895e-09,17900,0.0,1117762432.0,0.2,2207352422.4,5.960464477539063e-08,0.00032,-1.3657082438468933,-3.3213268034160136e-05
3670016,7.01,16,1148,-56317.9,28,4.976755e-09,17910,0.0,1105003520.0,0.2,2517930278.4,0.0,0.00032,-1.3656389147043229,-3.0808086739853026e-05
3672064,8.01,17,1161,-57481.5,29,3.6670826e-09,17920,0.0,1114976384.0,0.2,2415333273.6,0.0,0.00032,-1.3656124502420426,-2.8049337561242283e-05
3674112,8.21,18,1172,-55932.9,31,5.500624e-09,17930,0.0,1169642624.0,0.2,2354669280.0,5.960464477539063e-08,0.00032,-1.3660423904657364,-2.76093662250787e-05
3676160,7.64,19,1183,-55931.2,32,3.6379788e-09,17940,0.0,1112500096.0,0.2,2307050694.4,-1.1920928955078125e-07,0.00032,-1.3659400165081024,-2.3653812240809204e-05
3678208,7.97,20,1192,-58651.3,34,5.0349627e-09,17950,0.0,1130687744.0,0.2,2279533808.0,0.0,0.00032,-1.3657794147729874,-2.622404135763645e-05
3680256,8.46,21,1201,-58652.9,35,4.278263e-09,17960,0.0,977420672.0,0.2,2017998326.4,5.960464477539063e-08,0.00032,-1.3658647924661635,-2.960946876555681e-05
3682304,7.48,22,1209,-57870.7,37,3.6961865e-09,17970,0.0,1043911488.0,0.2,2267462915.2,-1.1920928955078125e-07,0.00032,-1.365537178516388,-2.6033609174191952e-05
3684352,6.99,23,1216,-55932.2,38,4.5110937e-09,17980,0.0,1147379328.0,0.2,2197271843.2,0.0,0.00032,-1.3655034631490708,-2.930292102973908e-05
3686400,7.75,24,1219,-55932.7,40,5.2095857e-09,17990,0.0,1095256064.0,0.2,2405037094.4,0.0,0.00032,-1.3654172271490097,-3.087285876972601e-05
3688448,7.96,25,1225,-62921.9,41,3.1141099e-09,18000,0.0,976957632.0,0.2,1948931417.6,0.0,0.00032,-1.3659044623374939,-2.633396361488849e-05
3690496,7.57,26,1231,-56320.6,43,4.2200554e-09,18010,0.0,1293575424.0,0.2,2352527376.0,0.0,0.00032,-1.3654480278491974,-2.862803521566093e-05
3692544,7.48,27,1236,-55930.8,44,3.958121e-09,18020,0.0,1053041536.0,0.2,2099698201.6,0.0,0.00032,-1.3656167328357696,-2.8165633557364346e-05
3694592,7.83,28,1163,-57872.9,49,3.783498e-09,18030,0.0,1108628992.0,0.2,2356232358.4,0.0,0.00032,-1.365752387046814,-2.6882404927164317e-05
3696640,7.66,29,1083,-55932.8,54,3.812602e-09,18040,0.0,1163552000.0,0.2,2252378284.8,0.0,0.00032,-1.3656308829784394,-2.8910100809298456e-05
3698688,7.39,30,1091,-53991.6,56,6.170012e-09,18050,0.0,1029169728.0,0.2,2155732684.8,-1.1920928955078125e-07,0.00032,-1.3652741730213165,-3.417929692659527e-05
3700736,7.56,31,1097,-58651.0,57,3.8417056e-09,18060,0.0,1117824512.0,0.2,2258190633.6,0.0,0.00032,-1.3654421389102935,-2.8955936431884766e-05
3702784,7.22,32,1101,-53213.6,59,5.7625584e-09,18070,0.0,1089642368.0,0.2,2299744358.4,0.0,0.00032,-1.3651050299406051,-3.194278251612559e-05
